country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB",18-11-2025 17:00,19.173852,77.296291,PM2.5,106,294,206
India,Maharashtra,Nashik,"Gangapur Road, Nashik - MPCB",18-11-2025 17:00,20.0073285,73.7762427,NO2,5,7,5
India,Maharashtra,Nashik,"Gangapur Road, Nashik - MPCB",18-11-2025 17:00,20.0073285,73.7762427,CO,32,34,33
India,Maharashtra,Nashik,"Hirawadi, Nashik - MPCB",18-11-2025 17:00,20.021503,73.813844,PM2.5,87,188,144
India,Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB",18-11-2025 17:00,21.121801,79.04952,PM2.5,74,234,155
India,Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB",18-11-2025 17:00,21.121801,79.04952,CO,24,75,29
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",18-11-2025 17:00,21.14472,79.107595,PM2.5,112,303,191
India,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",18-11-2025 17:00,21.152875,79.0517531,PM10,98,158,129
India,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",18-11-2025 17:00,21.152875,79.0517531,NO2,21,103,47
India,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",18-11-2025 17:00,21.152875,79.0517531,NH3,1,5,3
India,Maharashtra,Navi Mumbai,"Sector-2E Kalamboli, Navi Mumbai - MPCB",18-11-2025 17:00,19.02579,73.10297,PM2.5,80,298,192
India,Maharashtra,Navi Mumbai,"Sector-2E Kalamboli, Navi Mumbai - MPCB",18-11-2025 17:00,19.02579,73.10297,PM10,64,233,140
India,Maharashtra,Navi Mumbai,"Sector-2E Kalamboli, Navi Mumbai - MPCB",18-11-2025 17:00,19.02579,73.10297,NO2,14,147,48
India,Maharashtra,Navi Mumbai,"Sector-2E Kalamboli, Navi Mumbai - MPCB",18-11-2025 17:00,19.02579,73.10297,OZONE,1,70,48
India,Maharashtra,Navi Mumbai,"Tondare-Taloja, Navi Mumbai - MPCB",18-11-2025 17:00,19.063,73.1209,PM2.5,56,208,121
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC",18-11-2025 17:00,19.060498,72.923356,CO,NA,NA,NA
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",18-11-2025 17:00,19.000083,72.813993,PM10,79,146,119
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",18-11-2025 17:00,19.000083,72.813993,NH3,3,7,5
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",18-11-2025 17:00,19.000083,72.813993,CO,6,57,24
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",18-11-2025 17:00,19.047,72.8746,SO2,10,10,10
India,Maharashtra,Nashik,"Hirawadi, Nashik - MPCB",18-11-2025 17:00,20.021503,73.813844,CO,38,70,41
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB",18-11-2025 17:00,19.95022,73.73148,PM2.5,80,127,98
India,Maharashtra,Navi Mumbai,"Kopripada-Vashi, Navi Mumbai - MPCB",18-11-2025 17:00,19.090337,73.014232,PM10,89,196,130
India,Maharashtra,Navi Mumbai,"Mahape, Navi Mumbai - MPCB",18-11-2025 17:00,19.1135051,73.008978,OZONE,6,10,9
India,Maharashtra,Navi Mumbai,"Sanpada, Navi Mumbai - MPCB",18-11-2025 17:00,19.0575752,73.0151367,PM10,78,135,117
India,Maharashtra,Pimpri-Chinchwad,"Savta Mali Nagar, Pimpri-Chinchwad - IITM",18-11-2025 17:00,18.614767,73.799516,OZONE,5,72,63
India,Maharashtra,Parbhani,"Masoom Colony, Parbhani - MPCB",18-11-2025 17:00,19.265594,76.761463,OZONE,10,10,10
India,Maharashtra,Mumbai,"Powai, Mumbai - MPCB",18-11-2025 17:00,19.1375,72.915056,OZONE,9,9,9
India,Maharashtra,Virar,"Bolinj, Virar - MPCB",18-11-2025 17:00,19.445821,72.7988231,CO,20,96,30
India,Meghalaya,Shillong,"Lumpyngngad, Shillong - Meghalaya PCB",18-11-2025 17:00,25.5586,91.8985,CO,1,7,5
India,Nagaland,Kohima,"PWD Junction, Kohima - NPCB",18-11-2025 17:00,25.6635413,94.0989878,PM2.5,21,246,82
India,Odisha,Angul,"Hakimapada, Angul - OSPCB",18-11-2025 17:00,20.832874,85.104082,NH3,6,11,9
India,Odisha,Angul,"Hakimapada, Angul - OSPCB",18-11-2025 17:00,20.832874,85.104082,CO,36,90,51
India,Odisha,Balasore,"Kalidaspur, Balasore - OSPCB",18-11-2025 17:00,21.51161,86.89088,PM2.5,65,472,166
India,Odisha,Balasore,"Kalidaspur, Balasore - OSPCB",18-11-2025 17:00,21.51161,86.89088,PM10,77,167,119
India,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",18-11-2025 17:00,18.45445,73.854155,PM2.5,NA,NA,NA
India,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",18-11-2025 17:00,18.45445,73.854155,NO2,NA,NA,NA
India,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",18-11-2025 17:00,18.45445,73.854155,CO,28,36,32
India,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",18-11-2025 17:00,18.45445,73.854155,OZONE,124,134,129
India,Maharashtra,Pune,"Mhada Colony, Pune - IITM",18-11-2025 17:00,18.57304,73.927715,PM2.5,37,322,190
India,Maharashtra,Pune,"Mhada Colony, Pune - IITM",18-11-2025 17:00,18.57304,73.927715,CO,24,97,41
India,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM",18-11-2025 17:00,18.530085,73.849598,PM2.5,127,316,236
India,Odisha,Balasore,"Kalidaspur, Balasore - OSPCB",18-11-2025 17:00,21.51161,86.89088,CO,12,94,17
India,Odisha,Barbil,"Forest Office, Barbil - OSPCB",18-11-2025 17:00,22.1166054,85.3945546,NO2,15,62,25
India,Odisha,Barbil,"Forest Office, Barbil - OSPCB",18-11-2025 17:00,22.1166054,85.3945546,NH3,3,4,4
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB",18-11-2025 17:00,21.941841,86.728318,PM2.5,80,205,124
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB",18-11-2025 17:00,21.941841,86.728318,NO2,14,66,44
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB",18-11-2025 17:00,21.941841,86.728318,OZONE,23,77,60
India,Maharashtra,Sangli,"Vijay Nagar, Sangli - MPCB",18-11-2025 17:00,16.5038,74.3623,SO2,6,15,9
India,Maharashtra,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB",18-11-2025 17:00,17.6336264,75.9132495,PM10,80,142,109
India,Maharashtra,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB",18-11-2025 17:00,17.6336264,75.9132495,CO,2,48,8
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB",18-11-2025 17:00,17.65439,75.90649,PM2.5,95,173,132
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB",18-11-2025 17:00,17.65439,75.90649,OZONE,12,99,89
India,Odisha,Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB",18-11-2025 17:00,20.94185,86.1151,PM10,85,171,114
India,Odisha,Cuttack,"CDA Area, Cuttack - OSPCB",18-11-2025 17:00,20.48891,85.84768,OZONE,4,176,121
India,Odisha,Keonjhar,"Jagamohanpur, Keonjhar - OSPCB",18-11-2025 17:00,21.6439,85.599355,PM2.5,76,103,86
India,Odisha,Keonjhar,"Jagamohanpur, Keonjhar - OSPCB",18-11-2025 17:00,21.6439,85.599355,NO2,17,73,39
India,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM",18-11-2025 17:00,18.530085,73.849598,SO2,7,39,16
India,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM",18-11-2025 17:00,18.530085,73.849598,CO,70,133,88
India,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",18-11-2025 17:00,18.664282,73.763966,PM10,116,179,143
India,Maharashtra,Sangli,"Vijay Nagar, Sangli - MPCB",18-11-2025 17:00,16.5038,74.3623,PM10,144,220,177
India,Odisha,Bhubaneswar,"Patia, Bhubaneswar - OSPCB",18-11-2025 17:00,20.34652,85.8163,PM2.5,97,332,192
India,Odisha,Bhubaneswar,"Patia, Bhubaneswar - OSPCB",18-11-2025 17:00,20.34652,85.8163,NO2,14,100,40
India,Odisha,Bhubaneswar,"Patia, Bhubaneswar - OSPCB",18-11-2025 17:00,20.34652,85.8163,CO,17,109,38
India,Odisha,Bhubaneswar,"Patia, Bhubaneswar - OSPCB",18-11-2025 17:00,20.34652,85.8163,OZONE,3,157,114
India,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",18-11-2025 17:00,21.8004996,83.8396977,OZONE,25,30,27
India,Maharashtra,Thane,"Upvan Fort, Thane - MPCB",18-11-2025 17:00,19.222279,72.957979,NO2,21,75,37
India,Maharashtra,Ulhasnagar,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB",18-11-2025 17:00,19.235581,73.159121,NO2,12,34,24
India,Maharashtra,Pimpri-Chinchwad,"Thergaon, Pimpri Chinchwad - MPCB",18-11-2025 17:00,18.616318,73.765797,NO2,22,76,38
