country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",2025-11-18 17:00:00,23.107969,72.574648,4,105.0,172.0,133.0
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",2025-11-18 17:00:00,22.977134,72.553024,3,23.0,35.0,30.0
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",2025-11-18 17:00:00,23.002657,72.591912,0,18.0,50.0,38.0
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",2025-11-18 17:00:00,23.002657,72.591912,3,4.0,49.0,43.0
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",2025-11-18 17:00:00,23.020509,72.579261,4,130.0,220.0,165.0
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",2025-11-18 17:00:00,23.020509,72.579261,2,32.0,178.0,88.0
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",2025-11-18 17:00:00,23.020509,72.579261,6,12.0,22.0,16.0
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",2025-11-18 17:00:00,23.020509,72.579261,3,4.0,109.0,85.0
India,Delhi,Delhi,"Mundka, Delhi - DPCC",2025-11-18 17:00:00,28.684678,77.076574,1,8.0,18.0,15.0
India,Delhi,Delhi,"Mundka, Delhi - DPCC",2025-11-18 17:00:00,28.684678,77.076574,6,8.0,18.0,15.0
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",2025-11-18 17:00:00,28.60909,77.0325413,4,154.0,261.0,201.0
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",2025-11-18 17:00:00,28.60909,77.0325413,0,28.0,56.0,37.0
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",2025-11-18 17:00:00,28.570173,76.933762,5,177.0,387.0,323.0
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",2025-11-18 17:00:00,28.570173,76.933762,4,142.0,276.0,198.0
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",2025-11-18 17:00:00,23.016834,72.625775,6,17.0,82.0,30.0
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",2025-11-18 17:00:00,23.041137,72.456691,5,91.0,304.0,175.0
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",2025-11-18 17:00:00,23.041137,72.456691,1,2.0,3.0,3.0
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",2025-11-18 17:00:00,23.023389,72.515201,4,83.0,114.0,100.0
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",2025-11-18 17:00:00,23.023389,72.515201,0,42.0,106.0,61.0
India,Delhi,Delhi,"Pusa, Delhi - IMD",2025-11-18 17:00:00,28.63611,77.173332,2,24.0,140.0,84.0
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",2025-11-18 17:00:00,28.563262,77.186937,2,44.0,128.0,89.0
